
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-07-02 10:37:12 /api/points ........................................................................ ~ 518.15ms
  2026-07-02 10:37:12 /api/points/ ......................................................................... ~ 0.72ms
  2026-07-02 10:37:13 /api/points/ ....................................................................... ~ 500.92ms
  2026-07-02 10:37:13 /api/points/ ....................................................................... ~ 509.18ms
  2026-07-02 10:37:20 /api/auth/login .......................................................................... ~ 1s
  2026-07-02 10:37:32 /api/auth/login .......................................................................... ~ 1s
  2026-07-02 10:37:33 /api/points ........................................................................ ~ 512.61ms
  2026-07-02 10:37:34 /api/points/7 ............................................................................ ~ 1s
  2026-07-02 10:37:35 /api/points/7 ...................................................................... ~ 501.49ms
  2026-07-02 10:37:35 /api/points/7 ...................................................................... ~ 511.74ms
  2026-07-02 10:41:04 /dashboard/points ........................................................................ ~ 1s
  2026-07-02 10:41:04 /api/points .............................................................................. ~ 1s
  2026-07-02 10:53:16 /api/points/2 ............................................................................ ~ 1s
  2026-07-02 10:53:17 /api/points ........................................................................ ~ 507.42ms
  2026-07-02 11:19:50 /api/points/3 ............................................................................ ~ 1s
  2026-07-02 11:19:51 /api/points .............................................................................. ~ 1s
  2026-07-02 11:27:35 /api/points/4 ............................................................................ ~ 1s
  2026-07-02 11:27:36 /api/points ........................................................................ ~ 510.11ms
  2026-07-02 11:28:19 /api/points/5 ...................................................................... ~ 511.37ms
  2026-07-02 11:28:19 /api/points ........................................................................ ~ 511.89ms
  2026-07-02 11:34:55 /api/points/6 ............................................................................ ~ 1s
  2026-07-02 11:34:56 /api/points ........................................................................ ~ 509.21ms
  2026-07-02 11:36:18 /api/points ........................................................................ ~ 524.40ms
  2026-07-02 11:36:19 /api/points ........................................................................ ~ 503.64ms
  2026-07-02 11:36:50 /dashboard/points ........................................................................ ~ 1s
  2026-07-02 11:36:50 /api/points .............................................................................. ~ 1s
  2026-07-02 11:38:38 /api/points .............................................................................. ~ 1s
  2026-07-02 11:38:39 /api/points ........................................................................ ~ 502.83ms
  2026-07-02 11:41:41 /api/points ........................................................................ ~ 513.33ms
  2026-07-02 11:41:42 /api/points ........................................................................ ~ 503.42ms
  2026-07-02 11:44:59 /api/points .............................................................................. ~ 1s
  2026-07-02 11:45:00 /api/points ........................................................................ ~ 515.68ms
  2026-07-02 11:50:45 /api/points .............................................................................. ~ 1s
  2026-07-02 11:50:46 /api/points ........................................................................ ~ 514.86ms
